comuna,votos,porcentaje,partido,espacio,candidato
08,281,0.30,Política Obrera,izquierda,Marcelo Ramal
08,251,0.27,Ucedé,otros,Andrés Passamonti
08,246,0.26,Fte. Patriota Federal,otros,César Biondini
08,213,0.22,Movimiento de Acción Vecinal,otros,Raúl Albarracín
08,3,0.01,Frente LIBER.AR,otros,Nazareno Etchepare
08,1,0.00,Frente LIBER.AR,otros,Ramiro Vasena
08,0,0.00,Frente LIBER.AR,otros,Julio Bárbaro
08,1,0.01,Proyecto Joven,otros,Mempo Giardinelli
08,0,0.00,Proyecto Joven,otros,Martín A. Ortiz
08,0,0.00,Proyecto Joven,otros,Reina Ibañez
08,1855,1.97,Blancos,no,Blancos
08,1155,1.22,Nulos,no,Nulos
08,101,0.1,Impugnados,no,Impugnados
09,23425,23.44,Juntos por el Cambio,jxc,Patricia Bullrich
09,16959,16.97,Juntos por el Cambio,jxc,Horacio R. Larreta
09,18811,18.83,Unión por la Patria,up,Sergio Massa
09,6881,6.89,Unión por la Patria,up,Juan Grabois
09,22158,22.18,La Libertad Avanza,libertarios,Javier Milei
09,3696,3.69,FIT-U,izquierda,Myriam Bregman
09,1119,1.12,FIT-U,izquierda,Gabriel Solano
09,1828,1.82,Principios y Valores,otros,Guillermo Moreno
09,974,0.97,Hacemos por Nuestro País,peronismo,Juan Schiaretti
09,520,0.52,Nuevo MAS,izquierda,Manuela Castañeira
09,389,0.38,MIJD,otros,Santiago Cúneo
09,107,0.11,MIJD,otros,Raúl Castells
09,327,0.32,Política Obrera,izquierda,Marcelo Ramal
09,273,0.27,Libres del Sur,otros,Jesús Escobar
09,216,0.21,Movimiento de Acción Vecinal,otros,Raúl Albarracín
09,206,0.20,Fte. Patriota Federal,otros,César Biondini
09,196,0.19,Ucedé,otros,Andrés Passamonti
09,4,0.01,Proyecto Joven,otros,Mempo Giardinelli
09,1,0.00,Proyecto Joven,otros,Martín A. Ortiz
09,0,0.00,Proyecto Joven,otros,Reina Ibañez
09,3,0.01,Frente LIBER.AR,otros,Nazareno Etchepare
09,0,0.00,Frente LIBER.AR,otros,Ramiro Vasena
09,0,0.00,Frente LIBER.AR,otros,Julio Bárbaro
09,1799,1.78,Blancos,no,Blancos
09,1068,1.05,Nulos,no,Nulos
09,44,0.04,Impugnados,no,Impugnados
10,26246,25.66,Juntos por el Cambio,jxc,Patricia Bullrich
10,19522,19.09,Juntos por el Cambio,jxc,Horacio R. Larreta
10,17513,17.12,Unión por la Patria,up,Sergio Massa
10,7525,7.36,Unión por la Patria,up,Juan Grabois
10,19447,19.01,La Libertad Avanza,libertarios,Javier Milei
10,4194,4.10,FIT-U,izquierda,Myriam Bregman
10,1070,1.04,FIT-U,izquierda,Gabriel Solano
10,1683,1.64,Principios y Valores,otros,Guillermo Moreno
10,1074,1.05,Hacemos por Nuestro País,peronismo,Juan Schiaretti
10,541,0.52,Nuevo MAS,izquierda,Manuela Castañeira
10,362,0.35,MIJD,otros,Santiago Cúneo
10,80,0.08,MIJD,otros,Raúl Castells
10,282,0.27,Política Obrera,izquierda,Marcelo Ramal
10,231,0.22,Libres del Sur,otros,Jesús Escobar
10,201,0.19,Fte. Patriota Federal,otros,César Biondini
10,186,0.18,Movimiento de Acción Vecinal,otros,Raúl Albarracín
10,136,0.13,Ucedé,otros,Andrés Passamonti
10,2,0.01,Proyecto Joven,otros,Martín A. Ortiz
10,0,0.00,Proyecto Joven,otros,Mempo Giardinelli
10,0,0.00,Proyecto Joven,otros,Reina Ibañez
10,0,0.00,Frente LIBER.AR,otros,Nazareno Etchepare
10,0,0.00,Frente LIBER.AR,otros,Ramiro Vasena
10,0,0.00,Frente LIBER.AR,otros,Julio Bárbaro
10,1977,1.91,Blancos,no,Blancos
10,1066,1.03,Nulos,no,Nulos
10,65,0.06,Impugnados,no,Impugnados
11,35194,28.48,Juntos por el Cambio,jxc,Patricia Bullrich
11,25084,20.30,Juntos por el Cambio,jxc,Horacio R. Larreta
11,19680,15.93,Unión por la Patria,up,Sergio Massa
11,9077,7.35,Unión por la Patria,up,Juan Grabois
11,21371,17.29,La Libertad Avanza,libertarios,Javier Milei
11,4804,3.89,FIT-U,izquierda,Myriam Bregman
11,1152,0.93,FIT-U,izquierda,Gabriel Solano
11,1671,1.35,Principios y Valores,otros,Guillermo Moreno
11,1141,0.92,Hacemos por Nuestro País,peronismo,Juan Schiaretti
11,558,0.45,Nuevo MAS,izquierda,Manuela Castañeira
11,369,0.30,MIJD,otros,Santiago Cúneo
11,80,0.06,MIJD,otros,Raúl Castells
11,333,0.26,Política Obrera,izquierda,Marcelo Ramal
11,227,0.18,Libres del Sur,otros,Jesús Escobar
11,220,0.17,Movimiento de Acción Vecinal,otros,Raúl Albarracín
11,181,0.14,Fte. Patriota Federal,otros,César Biondini
11,174,0.14,Ucedé,otros,Andrés Passamonti
11,41,0.03,Frente LIBER.AR,otros,Julio Bárbaro
11,2,0.00,Frente LIBER.AR,otros,Nazareno Etchepare
11,0,0.00,Frente LIBER.AR,otros,Ramiro Vasena
11,6,0.01,Proyecto Joven,otros,Reina Ibañez
11,3,0.00,Proyecto Joven,otros,Martín A. Ortiz
11,2,0.00,Proyecto Joven,otros,Mempo Giardinelli
11,2160,1.72,Blancos,no,Blancos
11,1316,1.05,Nulos,no,Nulos
11,52,0.04,Impugnados,no,Impugnados
12,38660,28.55,Juntos por el Cambio,jxc,Patricia Bullrich
12,30050,22.19,Juntos por el Cambio,jxc,Horacio R. Larreta
12,20973,15.49,Unión por la Patria,up,Sergio Massa
12,10017,7.40,Unión por la Patria,up,Juan Grabois
12,21857,16.14,La Libertad Avanza,libertarios,Javier Milei
12,5054,3.73,FIT-U,izquierda,Myriam Bregman
12,1165,0.86,FIT-U,izquierda,Gabriel Solano
12,1871,1.38,Principios y Valores,otros,Guillermo Moreno
12,1358,1.00,Hacemos por Nuestro País,peronismo,Juan Schiaretti
12,509,0.37,Nuevo MAS,izquierda,Manuela Castañeira
12,409,0.30,MIJD,otros,Santiago Cúneo
12,86,0.06,MIJD,otros,Raúl Castells
12,335,0.24,Política Obrera,izquierda,Marcelo Ramal
12,241,0.17,Libres del Sur,otros,Jesús Escobar
12,196,0.14,Fte. Patriota Federal,otros,César Biondini
12,184,0.13,Movimiento de Acción Vecinal,otros,Raúl Albarracín
12,131,0.09,Ucedé,otros,Andrés Passamonti
12,3,0.01,Frente LIBER.AR,otros,Nazareno Etchepare
12,1,0.00,Frente LIBER.AR,otros,Ramiro Vasena
12,1,0.00,Frente LIBER.AR,otros,Julio Bárbaro
12,1,0.00,Proyecto Joven,otros,Mempo Giardinelli
12,1,0.00,Proyecto Joven,otros,Martín A. Ortiz
12,1,0.00,Proyecto Joven,otros,Reina Ibañez
12,2270,1.65,Blancos,no,Blancos
12,1323,0.96,Nulos,no,Nulos
12,57,0.04,Impugnados,no,Impugnados
13,54619,36.52,Juntos por el Cambio,jxc,Patricia Bullrich
13,36953,24.71,Juntos por el Cambio,jxc,Horacio R. Larreta
13,16894,11.29,Unión por la Patria,up,Sergio Massa
13,8474,5.66,Unión por la Patria,up,Juan Grabois
13,20535,13.73,La Libertad Avanza,libertarios,Javier Milei
13,4582,3.06,FIT-U,izquierda,Myriam Bregman
13,811,0.54,FIT-U,izquierda,Gabriel Solano
13,1470,0.98,Hacemos por Nuestro País,peronismo,Juan Schiaretti
13,1298,0.86,Principios y Valores,otros,Guillermo Moreno
13,420,0.28,Nuevo MAS,izquierda,Manuela Castañeira
13,278,0.18,MIJD,otros,Santiago Cúneo
13,70,0.05,MIJD,otros,Raúl Castells
13,255,0.17,Política Obrera,izquierda,Marcelo Ramal
13,161,0.10,Libres del Sur,otros,Jesús Escobar
13,149,0.09,Fte. Patriota Federal,otros,César Biondini
13,147,0.09,Movimiento de Acción Vecinal,otros,Raúl Albarracín
13,115,0.07,Ucedé,otros,Andrés Passamonti
13,58,0.04,Frente LIBER.AR,otros,Julio Bárbaro
13,2,0.00,Frente LIBER.AR,otros,Nazareno Etchepare
13,1,0.00,Frente LIBER.AR,otros,Ramiro Vasena
13,4,0.01,Proyecto Joven,otros,Martín A. Ortiz
13,2,0.00,Proyecto Joven,otros,Reina Ibañez
13,1,0.00,Proyecto Joven,otros,Mempo Giardinelli
13,2249,1.49,Blancos,no,Blancos
13,1117,0.74,Nulos,no,Nulos
13,56,0.03,Impugnados,no,Impugnados
14,52534,37.94,Juntos por el Cambio,jxc,Patricia Bullrich
14,32685,23.60,Juntos por el Cambio,jxc,Horacio R. Larreta
14,16653,12.02,Unión por la Patria,up,Sergio Massa
14,7748,5.59,Unión por la Patria,up,Juan Grabois
14,18612,13.44,La Libertad Avanza,libertarios,Javier Milei
14,3798,2.74,FIT-U,izquierda,Myriam Bregman
14,727,0.52,FIT-U,izquierda,Gabriel Solano
14,1218,0.87,Hacemos por Nuestro País,peronismo,Juan Schiaretti
14,1180,0.85,Principios y Valores,otros,Guillermo Moreno
14,338,0.24,Nuevo MAS,izquierda,Manuela Castañeira
14,242,0.17,MIJD,otros,Santiago Cúneo
14,67,0.05,MIJD,otros,Raúl Castells
14,229,0.16,Política Obrera,izquierda,Marcelo Ramal
14,183,0.13,Libres del Sur,otros,Jesús Escobar
14,138,0.09,Fte. Patriota Federal,otros,César Biondini
14,109,0.07,Movimiento de Acción Vecinal,otros,Raúl Albarracín
14,93,0.06,Ucedé,otros,Andrés Passamonti
14,3,0.01,Frente LIBER.AR,otros,Ramiro Vasena
14,1,0.00,Frente LIBER.AR,otros,Nazareno Etchepare
14,0,0.00,Frente LIBER.AR,otros,Julio Bárbaro
14,1,0.01,Proyecto Joven,otros,Mempo Giardinelli
14,0,0.00,Proyecto Joven,otros,Martín A. Ortiz
14,0,0.00,Proyecto Joven,otros,Reina Ibañez
14,1882,1.34,Blancos,no,Blancos
14,908,0.65,Nulos,no,Nulos
14,48,0.03,Impugnados,no,Impugnados
15,24715,24.63,Juntos por el Cambio,jxc,Patricia Bullrich
15,19828,19.76,Juntos por el Cambio,jxc,Horacio R. Larreta
15,18441,18.38,Unión por la Patria,up,Sergio Massa
15,9840,9.81,Unión por la Patria,up,Juan Grabois
15,15690,15.63,La Libertad Avanza,libertarios,Javier Milei
15,4927,4.91,FIT-U,izquierda,Myriam Bregman
15,1013,1.01,FIT-U,izquierda,Gabriel Solano
15,1400,1.39,Principios y Valores,otros,Guillermo Moreno
15,1002,0.99,Hacemos por Nuestro País,peronismo,Juan Schiaretti
15,450,0.44,Nuevo MAS,izquierda,Manuela Castañeira
15,341,0.33,Política Obrera,izquierda,Marcelo Ramal
15,261,0.25,MIJD,otros,Santiago Cúneo
15,70,0.07,MIJD,otros,Raúl Castells
15,212,0.21,Libres del Sur,otros,Jesús Escobar
15,189,0.18,Movimiento de Acción Vecinal,otros,Raúl Albarracín
15,149,0.14,Fte. Patriota Federal,otros,César Biondini
15,126,0.12,Ucedé,otros,Andrés Passamonti
15,14,0.01,Frente LIBER.AR,otros,Nazareno Etchepare
15,1,0.00,Frente LIBER.AR,otros,Julio Bárbaro
15,0,0.00,Frente LIBER.AR,otros,Ramiro Vasena
15,3,0.01,Proyecto Joven,otros,Martín A. Ortiz
15,1,0.00,Proyecto Joven,otros,Mempo Giardinelli
15,0,0.00,Proyecto Joven,otros,Reina Ibañez
15,1641,1.61,Blancos,no,Blancos
15,1054,1.03,Nulos,no,Nulos
15,73,0.07,Impugnados,no,Impugnados
